Date,Open,High,Low,Close,Adj Close,Volume
2023-01-10,93250.000000,94480.000000,93093.898438,94163.953125,94005.867188,11295
2023-01-11,94261.000000,94399.851563,90750.000000,91142.000000,90988.992188,12684
2023-01-12,91597.750000,91663.500000,88573.000000,89518.250000,89367.968750,13853
2023-01-13,89700.000000,90650.000000,89156.296875,89712.953125,89562.343750,13692
2023-01-16,90100.000000,90679.601563,89000.000000,89228.351563,89078.554688,9198
2023-01-17,89682.851563,89965.898438,89010.046875,89526.750000,89376.453125,6548
2023-01-18,89360.000000,90399.953125,89279.953125,90196.851563,90045.429688,6516
2023-01-19,89999.000000,90899.000000,89819.000000,90484.000000,90332.093750,5767
2023-01-20,90484.000000,91198.898438,89255.648438,89557.000000,89406.648438,7211
2023-01-23,89995.000000,90539.750000,89679.953125,90280.351563,90128.789063,4493
2023-01-24,90500.000000,90949.398438,90045.046875,90414.500000,90262.710938,4227
2023-01-25,90300.000000,90436.000000,88429.601563,89571.750000,89421.375000,5737
2023-01-27,89640.000000,89665.750000,86911.351563,88261.101563,88112.921875,9731
2023-01-30,88360.000000,90207.000000,88062.750000,89263.898438,89114.039063,7747
2023-01-31,89500.000000,91090.000000,89405.046875,90869.398438,90716.843750,11151
2023-02-01,91000.000000,92950.000000,90722.546875,91961.453125,91807.062500,11990
2023-02-02,91700.000000,93000.000000,91052.648438,92817.351563,92661.531250,7087
2023-02-03,93449.000000,93449.000000,91450.000000,92853.351563,92697.460938,8666
2023-02-06,92785.000000,93241.453125,92211.546875,92677.851563,92522.257813,6467
2023-02-07,92600.000000,92700.000000,91550.000000,91739.851563,91585.835938,5791
2023-02-08,91630.000000,92484.851563,90739.851563,92275.648438,92120.734375,5787
2023-02-09,92275.000000,93100.000000,87351.000000,88813.046875,88663.945313,36042
2023-02-10,89000.000000,89976.898438,88125.648438,89070.898438,88921.367188,10500
2023-02-13,89408.000000,89408.000000,88200.000000,88803.898438,88654.812500,7364
2023-02-14,89260.000000,89260.000000,87500.000000,88050.000000,87902.179688,6328
2023-02-15,88390.000000,89074.203125,88050.000000,88855.453125,88706.281250,6123
2023-02-16,88800.000000,89971.703125,88722.203125,89215.796875,89066.015625,8304
2023-02-17,89120.000000,89668.000000,88550.000000,88739.703125,88590.726563,4351
2023-02-20,89000.000000,90000.000000,88717.101563,89181.101563,89031.382813,5810
2023-02-21,89648.000000,90445.000000,89121.250000,89957.203125,89809.203125,6804
2023-02-22,89958.000000,90000.000000,87500.000000,87658.296875,87514.078125,10970
2023-02-23,87999.000000,88249.000000,86001.000000,86730.851563,86588.156250,10316
2023-02-24,87350.000000,87462.000000,86650.000000,86800.703125,86657.890625,4732
2023-02-27,86786.000000,86786.000000,84802.046875,85143.101563,85003.015625,7189
2023-02-28,85565.000000,85898.203125,84640.000000,85256.601563,85116.328125,9473
2023-03-01,85654.250000,86444.953125,84827.500000,86068.601563,85926.992188,6829
2023-03-02,86480.000000,87150.000000,86000.000000,86802.703125,86659.890625,4710
2023-03-03,87001.000000,87399.398438,86200.898438,86363.148438,86221.054688,5234
2023-03-06,86400.000000,87250.000000,86400.000000,86715.351563,86572.679688,4610
2023-03-08,86557.000000,87199.000000,86471.148438,86752.796875,86610.062500,4988
2023-03-09,86800.000000,87169.046875,85360.000000,85596.898438,85456.070313,6402
2023-03-10,85499.898438,85549.953125,84351.000000,85111.203125,84971.171875,4951
2023-03-13,85330.000000,85591.546875,82812.453125,83076.296875,82939.617188,7256
2023-03-14,83389.953125,83661.898438,82280.398438,82492.296875,82356.578125,6817
2023-03-15,83192.000000,83199.000000,81974.351563,82107.101563,81972.015625,4360
2023-03-16,82101.000000,83501.000000,81380.046875,83140.703125,83003.914063,7114
2023-03-17,83556.000000,83556.000000,82050.000000,82901.796875,82765.398438,10903
2023-03-20,83556.000000,83688.953125,82235.351563,83559.953125,83422.476563,5263
2023-03-21,83600.000000,85710.000000,83232.203125,83746.000000,83608.218750,6860
2023-03-22,83900.000000,84500.000000,83675.046875,84399.851563,84260.992188,2961
2023-03-23,84349.000000,84778.750000,84000.000000,84164.648438,84026.171875,2966
2023-03-24,84448.953125,84778.953125,83700.000000,83878.500000,83740.500000,3982
2023-03-27,83878.000000,84549.898438,83416.953125,83709.750000,83572.023438,3643
2023-03-28,83899.000000,84253.898438,82223.546875,82365.351563,82229.835938,4242
2023-03-29,81900.000000,82701.500000,81786.500000,82012.000000,81877.070313,5133
2023-03-31,82422.000000,84444.000000,82088.250000,84047.203125,83908.921875,5856
2023-04-03,84047.203125,84550.000000,83752.000000,84400.851563,84261.992188,2396
2023-04-05,84284.203125,84746.500000,83830.000000,83949.898438,83811.781250,2944
2023-04-06,84000.000000,84500.000000,83325.750000,84005.546875,83867.335938,3733
2023-04-10,83750.000000,84780.000000,83750.000000,84398.453125,84259.593750,3582
2023-04-11,84601.046875,85298.296875,84294.296875,84617.000000,84477.781250,3034
2023-04-12,84800.898438,85794.203125,84750.000000,85456.250000,85315.648438,4928
2023-04-13,85699.000000,85700.046875,85407.351563,85516.953125,85376.257813,2496
2023-04-17,85499.000000,85700.000000,85001.000000,85376.351563,85235.882813,2573
2023-04-18,85500.000000,87495.000000,85487.453125,86821.351563,86678.507813,6492
2023-04-19,87000.000000,87343.703125,85697.000000,85837.250000,85696.023438,2897
2023-04-20,86279.000000,86869.203125,86012.148438,86502.648438,86360.328125,2998
2023-04-21,86300.000000,86950.000000,86090.148438,86517.398438,86375.054688,3418
2023-04-24,86945.000000,87200.000000,86300.000000,86896.148438,86753.179688,3160
2023-04-25,87100.000000,87399.953125,86086.000000,86561.453125,86419.039063,3991
2023-04-26,86550.000000,87332.898438,86400.000000,87231.203125,87087.687500,4413
2023-04-27,87497.000000,87600.000000,86810.000000,87455.898438,87312.007813,3368
2023-04-28,87437.351563,89300.000000,87376.000000,89006.796875,88860.359375,7620
2023-05-02,89007.000000,89498.898438,88002.046875,88596.898438,88451.132813,5222
2023-05-03,88787.953125,94390.000000,88318.851563,93559.796875,93405.867188,47192
2023-05-04,94000.000000,95760.000000,93026.250000,95110.796875,94954.312500,28698
2023-05-05,95110.796875,98974.648438,94500.000000,98614.046875,98451.796875,44972
2023-05-08,98620.000000,99933.500000,97398.250000,97730.648438,97569.851563,26682
2023-05-09,98149.500000,99200.000000,97201.351563,97499.750000,97339.335938,13521
2023-05-10,98200.000000,98200.000000,96575.046875,97229.351563,97069.382813,9964
2023-05-11,97700.000000,98240.000000,97200.000000,97361.000000,97200.812500,9435
2023-05-12,97760.000000,97800.000000,96600.046875,96689.148438,96530.070313,6319
2023-05-15,96705.000000,97656.351563,95150.000000,96900.898438,96741.468750,9670
2023-05-16,96800.000000,97600.000000,96400.000000,96551.851563,96393.000000,9357
2023-05-17,96536.000000,97900.000000,96299.796875,97655.101563,97494.429688,9469
2023-05-18,97872.250000,98400.000000,96800.101563,97060.703125,96901.015625,8164
2023-05-19,97258.046875,97280.953125,95700.000000,96236.648438,96078.312500,10866
2023-05-22,96356.648438,96553.398438,95674.250000,95911.453125,95753.656250,7085
2023-05-23,96066.000000,96453.796875,95225.296875,95487.648438,95330.546875,9019
2023-05-24,95550.000000,97458.398438,95338.546875,95640.296875,95482.945313,13583
2023-05-25,95680.000000,97052.500000,95570.398438,96727.351563,96568.210938,8319
2023-05-26,96735.000000,98171.000000,96601.148438,97881.796875,97720.757813,6694
2023-05-29,98050.000000,98440.898438,97475.000000,97782.203125,97621.328125,4096
2023-05-30,97782.203125,97935.000000,96900.000000,97096.398438,96936.648438,4289
2023-05-31,96906.398438,98650.750000,96650.101563,97211.703125,97051.765625,13323
2023-06-01,97100.000000,97988.953125,97099.000000,97567.296875,97406.773438,3795
2023-06-02,97567.296875,98100.000000,96067.546875,96368.500000,96209.945313,7514
2023-06-05,96880.000000,97187.953125,96502.148438,96797.453125,96638.195313,3003
2023-06-06,96888.000000,97249.500000,96227.648438,96636.250000,96477.257813,4249
2023-06-07,97000.000000,99230.500000,96775.148438,97553.101563,97392.601563,10781
2023-06-08,97610.000000,98599.000000,96900.000000,97077.351563,96917.632813,9411
2023-06-09,97264.000000,98597.898438,97150.000000,98390.953125,98229.070313,8604
2023-06-12,98335.101563,99400.000000,98152.750000,98968.546875,98805.718750,7627
2023-06-13,99150.203125,100439.953125,99150.203125,99992.851563,99828.335938,16655
2023-06-14,99993.000000,100400.000000,99400.000000,100114.148438,99949.437500,9786
2023-06-15,100099.000000,100849.601563,99711.000000,100081.000000,99916.343750,8297
2023-06-16,100083.000000,100694.953125,99549.500000,99892.500000,99728.148438,9713
2023-06-19,100000.000000,100651.000000,99557.046875,99758.203125,99594.078125,4964
2023-06-20,100200.000000,100200.000000,98280.101563,99348.203125,99184.750000,8914
2023-06-21,99648.000000,100950.000000,99484.351563,100422.203125,100256.984375,10714
2023-06-22,100400.000000,100900.000000,99500.000000,99868.453125,99704.140625,5564
2023-06-23,99977.000000,99977.000000,98880.046875,99492.046875,99328.359375,4670
2023-06-26,99799.953125,100079.898438,99071.796875,99954.648438,99790.195313,3699
2023-06-27,99900.000000,100500.953125,99300.000000,99591.250000,99427.398438,7862
2023-06-28,99591.250000,99591.250000,99591.250000,99591.250000,99427.398438,0
2023-06-30,100598.000000,101648.296875,100020.250000,101260.500000,101093.898438,9620
2023-07-03,101073.000000,101888.000000,99600.000000,99899.453125,99735.093750,9229
2023-07-04,100480.000000,100480.000000,99000.000000,99148.898438,98985.773438,5734
2023-07-05,99600.000000,100300.000000,99099.000000,100191.203125,100026.359375,5430
2023-07-06,100215.000000,101888.000000,100043.500000,101306.500000,101139.820313,8593
2023-07-07,101180.000000,101974.953125,100680.000000,101227.648438,101061.101563,6354
2023-07-10,101177.000000,101842.296875,100400.250000,100602.851563,100437.335938,5534
2023-07-11,100949.898438,102214.898438,100811.046875,101930.203125,101762.500000,7421
2023-07-12,101899.000000,102494.953125,101652.703125,102231.398438,102063.203125,6691
2023-07-13,102102.000000,102300.000000,101003.296875,101263.953125,101097.343750,3256
2023-07-14,101450.000000,102400.000000,101264.250000,102141.203125,101973.156250,5109
2023-07-17,102141.203125,102341.203125,101820.500000,101988.148438,101820.351563,2065
2023-07-18,102000.000000,102499.953125,101611.046875,102245.453125,102077.234375,3212
2023-07-19,102256.000000,102990.000000,102065.296875,102718.148438,102549.148438,4956
2023-07-20,102500.000000,102733.953125,101600.000000,101896.203125,101896.203125,3770
2023-07-21,101999.296875,102300.296875,101550.000000,102089.250000,102089.250000,2112
2023-07-24,102100.000000,103186.703125,101750.000000,102723.500000,102723.500000,4020
2023-07-25,102202.101563,102699.000000,102000.000000,102525.796875,102525.796875,2053
2023-07-26,103000.000000,103263.500000,102000.000000,102205.148438,102205.148438,4152
2023-07-27,102625.000000,102899.000000,101870.351563,102403.148438,102403.148438,2542
2023-07-28,102050.203125,102792.148438,101880.703125,102534.148438,102534.148438,2608
2023-07-31,102270.000000,103298.851563,102100.000000,102956.250000,102956.250000,3198
2023-08-01,102507.148438,103570.953125,102507.148438,103285.750000,103285.750000,3426
2023-08-02,102998.000000,103199.953125,102000.000000,102589.203125,102589.203125,3702
2023-08-03,102603.000000,107600.000000,101400.046875,106973.351563,106973.351563,23043
2023-08-04,108469.000000,111997.000000,106775.351563,111296.500000,111296.500000,26665
2023-08-07,111472.000000,111500.000000,107912.351563,108216.250000,108216.250000,11175
2023-08-08,108216.250000,108830.546875,105864.148438,107634.851563,107634.851563,11305
2023-08-09,107634.851563,107999.000000,106000.000000,106416.898438,106416.898438,8607
2023-08-10,106400.250000,106753.296875,105600.046875,106355.601563,106355.601563,6482
2023-08-11,106750.000000,106750.000000,105615.601563,105989.250000,105989.250000,4759
2023-08-14,105711.046875,106650.000000,104807.000000,106266.351563,106266.351563,4265
2023-08-16,105500.000000,106650.000000,104834.351563,106463.703125,106463.703125,4641
2023-08-17,105905.796875,106979.250000,105905.796875,106472.898438,106472.898438,4952
2023-08-18,106500.000000,108000.000000,106430.046875,107760.351563,107760.351563,7089
2023-08-21,108500.000000,108599.953125,107568.101563,107798.453125,107798.453125,6810
2023-08-22,108300.000000,108549.953125,107758.000000,108411.796875,108411.796875,3566
2023-08-23,108410.000000,109200.000000,108051.148438,108675.546875,108675.546875,4181
2023-08-24,109399.000000,109399.000000,108106.000000,108595.148438,108595.148438,4788
2023-08-25,108127.648438,108895.703125,108000.546875,108542.000000,108542.000000,3562
2023-08-28,108523.703125,108900.546875,107921.546875,108288.000000,108288.000000,3583
2023-08-29,108353.703125,109000.000000,108250.851563,108812.500000,108812.500000,2244
2023-08-30,108999.000000,109778.648438,108812.500000,109593.953125,109593.953125,2943
2023-08-31,109677.000000,109677.000000,108266.351563,108686.250000,108686.250000,5954
2023-09-01,109500.000000,109500.000000,107559.046875,107984.148438,107984.148438,6574
2023-09-04,108499.000000,108980.000000,107347.546875,108195.398438,108195.398438,4965
2023-09-05,108453.703125,108800.000000,107888.148438,108520.000000,108520.000000,3494
2023-09-06,108250.500000,109537.953125,107500.000000,109395.750000,109395.750000,8365
2023-09-07,108831.000000,109885.601563,108798.796875,109205.148438,109205.148438,2632
2023-09-08,109300.000000,109420.750000,108600.203125,108858.398438,108858.398438,2652
2023-09-11,109450.000000,109850.000000,108905.000000,109440.453125,109440.453125,3871
2023-09-12,109800.000000,109800.000000,107555.046875,107916.203125,107916.203125,8831
2023-09-13,108108.000000,109191.648438,107476.796875,109058.648438,109058.648438,7363
2023-09-14,109000.000000,111200.000000,109000.000000,111001.250000,111001.250000,6353
2023-09-15,111000.000000,112727.953125,108539.703125,109233.851563,109233.851563,14149
2023-09-18,109666.000000,109798.750000,108060.000000,109003.953125,109003.953125,7075
2023-09-20,109000.000000,109764.648438,108100.000000,109603.898438,109603.898438,4471
2023-09-21,109017.601563,109775.000000,108500.000000,108841.648438,108841.648438,3636
2023-09-22,108500.000000,109350.000000,108477.046875,108655.046875,108655.046875,3372
2023-09-25,108999.953125,109489.898438,107651.000000,109360.203125,109360.203125,6572
2023-09-26,109300.000000,109979.953125,108981.453125,109719.601563,109719.601563,3557
2023-09-27,109719.601563,110500.000000,109251.898438,110285.398438,110285.398438,2909
2023-09-28,110112.000000,110277.500000,108306.101563,108726.398438,108726.398438,7911
2023-09-29,108725.851563,109362.351563,106800.000000,107295.601563,107295.601563,9966
2023-10-03,108149.750000,108600.601563,106551.046875,108294.453125,108294.453125,5523
2023-10-04,108249.796875,108249.796875,106441.101563,106901.398438,106901.398438,3710
2023-10-05,107300.000000,107820.000000,106583.046875,106770.500000,106770.500000,3120
2023-10-06,107000.000000,108000.000000,107000.000000,107550.250000,107550.250000,3580
2023-10-09,107350.000000,107684.546875,106405.000000,107266.953125,107266.953125,4229
2023-10-10,107699.000000,108010.546875,107001.000000,107204.101563,107204.101563,4103
2023-10-11,107320.000000,108162.703125,107298.898438,107738.148438,107738.148438,3534
